timestamp,session_id,total_games,games_won,games_lost,win_rate_percent,max_score,max_tile,total_moves,avg_moves_per_game,avg_ai_latency,avg_game_time,total_ai_suggestions,games_2,games_8,games_32,games_128,games_512,games_1024,games_2048,command_args
2025-09-02 23:47:11,20250902_234711_batch89,5,5,0,100.0,21856,2048,4933,986.6,0.067,65.84,4933,0,0,0,0,0,0,5,"batch=89, games_in_batch=5"
2025-09-02 23:48:22,20250902_234822_batch90,5,4,1,80.0,21040,2048,4929,985.8,0.067,65.78,4929,0,0,0,0,0,1,4,"batch=90, games_in_batch=5"
2025-09-02 23:49:34,20250902_234934_batch91,5,5,0,100.0,20900,2048,4848,969.6,0.069,67.12,4848,0,0,0,0,0,0,5,"batch=91, games_in_batch=5"
2025-09-02 23:50:44,20250902_235044_batch92,5,5,0,100.0,20152,2048,4704,940.8,0.07,65.63,4704,0,0,0,0,0,0,5,"batch=92, games_in_batch=5"
2025-09-02 23:51:58,20250902_235158_batch93,5,5,0,100.0,20928,2048,4825,965.0,0.073,70.6,4825,0,0,0,0,0,0,5,"batch=93, games_in_batch=5"
2025-09-02 23:53:10,20250902_235310_batch94,5,5,0,100.0,20620,2048,4864,972.8,0.068,66.45,4864,0,0,0,0,0,0,5,"batch=94, games_in_batch=5"
2025-09-02 23:54:19,20250902_235419_batch95,5,4,1,80.0,20188,2048,4683,936.6,0.067,62.62,4683,0,0,0,0,0,1,4,"batch=95, games_in_batch=5"
2025-09-02 23:55:30,20250902_235530_batch96,5,5,0,100.0,20708,2048,4789,957.8,0.07,67.4,4789,0,0,0,0,0,0,5,"batch=96, games_in_batch=5"
2025-09-02 23:56:43,20250902_235643_batch97,5,5,0,100.0,21188,2048,4835,967.0,0.066,64.2,4835,0,0,0,0,0,0,5,"batch=97, games_in_batch=5"
2025-09-02 23:57:53,20250902_235753_batch98,5,5,0,100.0,20756,2048,4879,975.8,0.071,68.85,4879,0,0,0,0,0,0,5,"batch=98, games_in_batch=5"
2025-09-02 23:59:03,20250902_235903_batch99,5,5,0,100.0,20224,2048,4723,944.6,0.071,67.11,4723,0,0,0,0,0,0,5,"batch=99, games_in_batch=5"
2025-09-03 00:00:20,20250903_000020_batch100,5,4,1,80.0,20492,2048,4708,941.6,0.074,69.67,4708,0,0,0,0,0,1,4,"batch=100, games_in_batch=5"
2025-09-03 00:01:32,20250903_000132_batch101,5,5,0,100.0,20552,2048,4814,962.8,0.072,69.03,4814,0,0,0,0,0,0,5,"batch=101, games_in_batch=5"
2025-09-03 00:02:48,20250903_000248_batch102,5,5,0,100.0,20560,2048,4774,954.8,0.071,68.03,4774,0,0,0,0,0,0,5,"batch=102, games_in_batch=5"
2025-09-03 00:04:03,20250903_000403_batch103,5,5,0,100.0,21000,2048,4850,970.0,0.07,68.18,4850,0,0,0,0,0,0,5,"batch=103, games_in_batch=5"
2025-09-03 00:05:16,20250903_000516_batch104,5,5,0,100.0,20240,2048,4757,951.4,0.073,69.75,4757,0,0,0,0,0,0,5,"batch=104, games_in_batch=5"
2025-09-03 00:06:31,20250903_000631_batch105,5,5,0,100.0,21228,2048,4842,968.4,0.073,70.31,4842,0,0,0,0,0,0,5,"batch=105, games_in_batch=5"
2025-09-03 00:07:43,20250903_000743_batch106,5,5,0,100.0,20216,2048,4742,948.4,0.072,68.01,4742,0,0,0,0,0,0,5,"batch=106, games_in_batch=5"
2025-09-03 00:08:57,20250903_000857_batch107,5,5,0,100.0,20708,2048,4874,974.8,0.069,67.68,4874,0,0,0,0,0,0,5,"batch=107, games_in_batch=5"
2025-09-03 00:10:11,20250903_001011_batch108,5,5,0,100.0,20312,2048,4714,942.8,0.073,69.08,4714,0,0,0,0,0,0,5,"batch=108, games_in_batch=5"
2025-09-03 00:11:24,20250903_001124_batch109,5,5,0,100.0,22500,2048,4982,996.4,0.068,67.37,4982,0,0,0,0,0,0,5,"batch=109, games_in_batch=5"
2025-09-03 00:12:37,20250903_001237_batch110,5,5,0,100.0,20940,2048,4836,967.2,0.069,66.9,4836,0,0,0,0,0,0,5,"batch=110, games_in_batch=5"
2025-09-03 00:13:50,20250903_001350_batch111,5,5,0,100.0,20204,2048,4736,947.2,0.07,66.34,4736,0,0,0,0,0,0,5,"batch=111, games_in_batch=5"
2025-09-03 00:15:02,20250903_001502_batch112,5,5,0,100.0,20588,2048,4744,948.8,0.07,66.67,4744,0,0,0,0,0,0,5,"batch=112, games_in_batch=5"
2025-09-03 00:16:13,20250903_001613_batch113,5,4,1,80.0,21012,2048,4887,977.4,0.068,66.76,4887,0,0,0,0,0,1,4,"batch=113, games_in_batch=5"
2025-09-03 00:17:24,20250903_001724_batch114,5,4,1,80.0,20256,2048,4319,863.8,0.073,63.47,4319,0,0,0,0,1,0,4,"batch=114, games_in_batch=5"
2025-09-03 00:18:36,20250903_001836_batch115,5,5,0,100.0,20252,2048,4736,947.2,0.07,66.61,4736,0,0,0,0,0,0,5,"batch=115, games_in_batch=5"
2025-09-03 00:19:49,20250903_001949_batch116,5,5,0,100.0,20536,2048,4795,959.0,0.07,67.36,4795,0,0,0,0,0,0,5,"batch=116, games_in_batch=5"
2025-09-03 00:21:00,20250903_002100_batch117,5,4,1,80.0,20516,2048,4727,945.4,0.071,67.16,4727,0,0,0,0,0,1,4,"batch=117, games_in_batch=5"
2025-09-03 00:22:11,20250903_002211_batch118,5,5,0,100.0,20864,2048,4732,946.4,0.069,65.09,4732,0,0,0,0,0,0,5,"batch=118, games_in_batch=5"
2025-09-03 00:23:23,20250903_002323_batch119,5,5,0,100.0,20576,2048,4754,950.8,0.07,66.79,4754,0,0,0,0,0,0,5,"batch=119, games_in_batch=5"
2025-09-03 00:24:37,20250903_002437_batch120,5,5,0,100.0,20280,2048,4751,950.2,0.071,67.52,4751,0,0,0,0,0,0,5,"batch=120, games_in_batch=5"
2025-09-03 00:25:47,20250903_002547_batch121,5,5,0,100.0,21244,2048,4892,978.4,0.069,67.39,4892,0,0,0,0,0,0,5,"batch=121, games_in_batch=5"
2025-09-03 00:26:59,20250903_002659_batch122,5,5,0,100.0,20288,2048,4728,945.6,0.074,69.79,4728,0,0,0,0,0,0,5,"batch=122, games_in_batch=5"
2025-09-03 00:28:12,20250903_002812_batch123,5,5,0,100.0,20916,2048,4871,974.2,0.07,68.62,4871,0,0,0,0,0,0,5,"batch=123, games_in_batch=5"
2025-09-03 00:29:23,20250903_002923_batch124,5,3,2,60.0,20192,2048,4267,853.4,0.073,62.37,4267,0,0,0,0,0,2,3,"batch=124, games_in_batch=5"
2025-09-03 00:30:33,20250903_003033_batch125,5,5,0,100.0,21216,2048,4810,962.0,0.067,64.34,4810,0,0,0,0,0,0,5,"batch=125, games_in_batch=5"
2025-09-03 00:31:40,20250903_003140_batch126,5,5,0,100.0,20268,2048,4762,952.4,0.067,63.73,4762,0,0,0,0,0,0,5,"batch=126, games_in_batch=5"
2025-09-03 00:33:00,20250903_003300_batch127,5,5,0,100.0,21104,2048,4822,964.4,0.075,72.42,4822,0,0,0,0,0,0,5,"batch=127, games_in_batch=5"
